square_feet,bedrooms,age_years,distance_to_city_miles,price
2675,4,35,9.3,441400
3000,6,11,21.1,504800
750,1,27,8.9,90100
2925,5,69,15.3,398200
2075,4,0,26.8,345300
1525,2,43,4.5,266400
1850,2,44,21.5,254000
2350,3,48,3.7,332400
1575,3,46,20.6,202400
1375,3,10,30.1,181100
950,1,58,22.6,65000
1300,3,9,21.7,225200
1175,2,31,6.6,134500
2675,5,28,24.3,462400
3100,6,29,28.9,473300
850,1,40,8.2,93700
2225,3,58,5.9,365700
2350,3,54,31.5,316700
1925,3,17,18.3,309700
1000,1,20,27.9,112200
2000,4,49,14.0,330700
2400,5,1,24.1,395200
1000,2,68,26.5,65000
1575,2,58,1.1,215900
2950,6,33,34.0,422100
975,2,38,29.6,65000
2250,4,19,13.7,410100
2325,5,41,17.6,413500
1000,3,39,9.1,162100
900,1,62,28.7,73200
3075,5,16,5.4,504900
1475,3,54,33.8,143800
2375,4,25,25.2,316100
1825,3,66,16.4,256300
1425,2,43,1.7,199700
650,1,7,8.8,116300
750,2,9,18.5,114900
2375,3,60,9.3,378100
2150,4,24,4.2,367100
1950,3,6,23.9,280600
2700,4,51,25.8,370000
1250,1,57,5.8,155700
1225,2,31,30.7,174200
2400,3,69,29.4,299800
925,2,30,6.7,138800
1925,4,21,13.9,321800
1875,3,58,10.7,252000
3150,5,62,6.3,448400
1575,2,7,20.7,199300
825,1,61,18.1,65000
2325,3,65,3.7,364400
2800,5,51,5.1,489100
2450,4,5,22.1,363600
2300,3,33,7.9,390800
2925,5,33,14.5,456000
1650,4,9,1.3,310600
2625,5,12,3.5,486100
1750,4,31,13.6,302700
1150,2,69,24.9,65000
2725,5,70,11.2,346800
2750,4,17,10.0,500500
1125,1,26,25.4,97700
1300,3,33,18.2,185400
800,1,54,29.2,91200
775,1,16,22.7,90300
2400,4,1,4.8,492800
2850,6,69,2.2,433500
2025,3,39,13.4,331600
3175,6,5,31.6,502200
975,1,52,34.1,65000
3025,4,30,30.4,478700
1950,2,42,27.6,229600
1950,4,31,10.1,326300
750,2,28,7.8,117000
2100,3,29,8.6,329500
1525,3,35,12.9,210800
2275,4,68,12.3,377000
1475,2,33,2.3,263100
2550,4,40,15.8,401100
2475,4,5,25.1,389200
650,1,68,24.4,65000
1275,2,8,33.3,140600
1700,3,15,25.5,240200
1950,3,37,19.9,299200
1250,2,48,24.0,164100
1600,2,0,11.3,263800
1300,2,41,16.8,153000
2150,4,21,23.4,332400
1550,3,42,4.2,276300
1625,2,25,6.0,268900
775,1,60,21.8,65000
2650,5,49,17.8,363700
1425,2,0,31.4,233800
3125,5,22,28.3,424300
2875,5,6,20.0,488500
1075,2,67,34.6,65000
2550,4,56,21.8,342300
2400,4,20,26.3,323900
2150,3,31,29.6,276400
2200,4,35,16.0,386500
2925,4,34,12.4,472400
1125,1,19,25.0,130000
850,1,42,19.4,66700
1975,3,2,30.1,301900
3075,5,61,1.2,468700
1975,3,69,28.2,252100
1350,2,34,15.8,215700
2800,5,21,29.6,420600
1050,3,68,1.9,125500
725,1,54,5.6,113800
2125,3,33,13.9,333000
3075,6,35,26.6,483600
1975,3,10,17.0,322900
1750,2,8,27.6,239500
2725,4,3,33.3,408200
1125,1,60,23.8,95000
2450,5,59,24.8,330900
2575,5,14,27.4,379800
1150,3,13,20.7,212900
1850,3,25,3.6,310500
2850,5,31,4.5,496700
2550,5,5,12.8,395300
2000,4,8,18.2,305000
2200,3,46,22.6,341200
2100,4,55,7.0,285800
2600,5,68,27.3,327800
2125,3,34,12.0,333500
1525,3,31,26.5,262800
2450,4,48,12.4,347500
2200,3,33,12.6,343600
2550,5,35,19.9,371700
1400,3,62,19.9,157900
1400,3,62,16.2,194500
1925,4,39,23.6,270000
1825,3,67,12.7,277200
1775,3,34,11.4,278500
1375,2,24,11.7,216800
2850,4,27,26.1,349400
1525,3,67,21.3,221100
1575,2,22,11.3,248100
2900,5,35,2.5,519900
1050,2,62,4.5,152100
675,1,60,17.3,65000
1450,3,61,4.9,276500
850,1,9,20.6,114400
2450,5,10,34.8,344600
1025,2,53,21.6,103700
2300,4,56,11.1,323700
2525,5,39,20.3,445700
950,2,26,22.3,144900
1475,3,20,9.2,241600
1950,3,60,10.9,270200
1375,2,36,24.9,123000
1475,3,25,15.5,243500
2375,3,19,31.9,332500
1175,3,36,15.9,160300
2125,4,51,33.1,221300
900,2,55,26.0,65000
2575,4,11,8.8,423600
2525,5,34,20.6,335600
3075,6,60,18.6,431800
2500,4,62,33.9,303900
2150,3,42,11.9,339000
1950,4,36,23.5,285500
1925,4,70,2.2,313200
1000,3,51,30.4,90200
650,1,69,16.7,65000
2625,5,56,26.8,365100
1300,2,16,32.5,113600
1025,1,30,25.1,124000
1625,3,70,14.9,208700
1000,2,15,23.0,191000
1125,2,37,18.3,136600
2150,3,70,5.9,362000
1250,3,65,26.4,119600
3100,6,53,12.6,492200
3150,5,0,10.6,544200
2750,5,19,16.2,487800
2175,3,70,26.9,201600
1250,3,30,20.4,220400
1375,3,52,2.5,220900
1850,3,19,17.8,246100
750,1,42,30.6,65000
2325,5,1,25.6,358300
1950,4,19,3.5,363000
2625,5,10,30.0,379800
2800,5,48,33.4,329500
2200,4,4,22.0,317000
1400,3,36,34.9,145200
950,2,12,16.1,125500
2850,4,3,2.6,527600
1825,3,31,19.1,244600
2450,4,23,6.8,470700
2625,5,63,32.0,355900
1100,1,32,16.6,113100
2125,4,69,6.4,262300
2050,4,38,22.7,272000
1600,2,49,30.0,176500
975,1,45,20.5,118700
2750,4,1,20.2,452300
2825,5,6,32.0,429600
1550,3,29,21.6,166100
1775,2,24,22.1,230000
2750,5,17,22.4,395400
2650,5,39,27.8,401900
1050,1,37,12.1,148500
1975,3,16,27.7,301300
2250,5,21,9.7,373700
2175,5,37,26.4,301700
875,1,28,30.2,82800
2950,5,50,33.9,398600
3175,5,33,19.2,466200
2100,3,33,20.9,330700
975,2,60,1.9,83500
2425,4,28,23.0,339900
2875,4,52,5.0,432600
775,2,38,34.9,65000
2350,3,58,13.6,345200
3025,5,69,15.3,434400
1975,4,62,21.9,235500
1525,2,47,8.4,205300
1800,2,47,19.5,239800
2700,4,50,10.4,481700
2100,3,27,22.8,289500
2550,5,6,27.8,402200
2450,3,70,8.0,364000
1325,3,29,12.2,249400
650,1,18,34.6,83100
2375,3,22,4.7,418000
1775,4,30,21.0,252400
700,1,6,5.3,136500
850,1,46,18.5,87500
975,2,28,33.1,133700
2750,5,58,22.9,395900
725,1,61,29.8,65000
2925,6,9,31.6,459100
1675,3,8,5.3,288800
2925,5,67,11.0,409400
2250,4,12,28.0,368700
3100,5,27,15.6,525300
